life_expectancy_years,child_mortality_0_5_year_olds_dying_per_1000_born,children_and_elderly_per_100_adults,children_per_woman_total_fertility,crude_death_rate_deaths_per_1000_population,income_per_person_gdppercapita_ppp_inflation_adjusted,population_growth_annual_percent_with_projections,population_total,life_expectancy_sex_ratio,population_sex_ratio,country
58.69,65.924,80.353,4.33,6.443,1867.0,2.309,36373176.0,0.9588069045158938,1.0622187551894695,afg
65.19,81.638,98.221,5.55,8.243,5846.0,3.255,30774205.0,0.9118249434084296,0.9626794893699742,ago
76.97,10.62,56.313,2.26,7.557,18942.0,0.93,44688864.0,0.907896043290473,0.9588629152350872,arg
75.97,12.92,44.2,1.6,9.688,8662.0,0.107,2934152.0,0.9183728448275862,0.888298601480059,arm
82.87,3.398,53.564,1.83,6.695,45783.0,1.288,24772247.0,0.9563817536603134,0.9927284471801868,aus
81.84,2.891,50.196,1.52,9.665,44645.0,0.176,8751820.0,0.9446402924663794,0.963285647724104,aut
72.3,30.345,41.874,2.04,6.961,16552.0,0.942,9923914.0,0.918534064795505,0.9931488429534128,aze
61.14,69.319,92.098,5.53,10.308,691.0,3.173,11216450.0,0.9333576715011118,0.9697339597731246,bdi
81.23,3.548,56.378,1.8,9.773,42760.0,0.58,11498519.0,0.9448364795644232,0.9766343918277184,bel
64.98,94.744,79.288,4.84,8.894,2165.0,2.725,11485674.0,0.9508735705209655,0.9960817544897504,ben
61.6,80.378,89.63,5.19,8.128,1710.0,2.856,19751651.0,0.9756215849203014,0.996191989463416,bfa
73.41,31.976,49.018,2.05,5.253,3722.0,1.021,166368149.0,0.953921293886865,1.016401390041613,bgd
75.32,7.551,55.023,1.59,15.292,18853.0,-0.681,7036848.0,0.912505574313563,0.945814682209178,bgr
74.1,10.25,43.22,1.75,6.547,21920.0,0.969,399285.0,0.9240880168327122,0.959580493023758,bhs
73.76,3.717,46.372,1.72,13.38,17159.0,-0.182,9452113.0,0.8614204089943117,0.870325947692049,blr
72.45,13.835,53.389,2.44,5.38,7710.0,2.033,382444.0,0.9222517202145526,0.9903564421360508,blz
73.97,33.803,61.577,2.8,7.214,6975.0,1.464,11215674.0,0.9296130582484048,1.002184509565374,bol
75.7,14.218,43.643,1.7,6.323,14341.0,0.736,210867954.0,0.9096281765941128,0.9657930702862892,bra
76.84,11.494,52.242,1.8,10.923,16037.0,0.225,286388.0,0.939030134823736,0.9177917068466732,brb
74.83,29.511,44.749,1.99,6.003,9929.0,1.14,817054.0,0.990038862466153,1.1285244244601504,btn
66.92,36.626,54.985,2.64,6.194,16467.0,1.778,2333201.0,0.9288510734527156,0.9780114787592088,bwa
51.58,118.269,72.703,4.72,12.71,689.0,1.757,4737423.0,0.9283336032971582,0.973372094621642,caf
82.16,4.818,50.409,1.56,7.551,43773.0,0.887,36953765.0,0.9568093339170975,0.98527340895118,can
83.45,3.748,50.611,1.55,8.041,57133.0,0.774,8544034.0,0.955893536121673,0.982867188451876,che
80.66,7.616,45.786,1.76,6.216,23366.0,0.775,18197209.0,0.9409762738234148,0.981953509972768,chl
76.92,9.952,39.509,1.64,7.511,16018.0,0.373,1415045928.0,0.9607614856133976,1.0631979056179504,chn
61.16,84.236,81.847,4.78,11.643,3764.0,2.482,24905843.0,0.9465175900868824,1.024772689247857,civ
61.22,75.654,81.933,4.57,9.546,3170.0,2.551,24678234.0,0.9629057443768896,1.0022809625267544,cmr
